id,text_original
S128,Die Diener helfen dem Prinzen den Sarg mit Schneewittchen ins Schloss zu tragen.
S129,Auf dem Weg stolpert ein Diener über einen Stein. Und lässt den Sarg fallen. Der Sarg fällt auf die Erde.
S130,Und Schneewittchen bekommt einen Ruck. Plötzlich fällt ein Stück Apfel aus dem Mund von Schneewittchen.
S131,Schneewittchen hat das Apfelstück nicht geschluckt. Und der giftige Apfel hat Schneewittchen nicht getötet.
S132,Schneewittchen öffnet die Augen. Und fragt: Wo bin ich?
S133,Der Prinz antwortet: Du bist bei mir. Ich bin ein Prinz.
S134,Und ich nehme dich mit auf mein Schloss. Du sollst meine Prinzessin sein. Willst du mich heiraten?
S135,Schneewittchen ist glücklich. Und Schneewittchen will den Prinzen heiraten. Es gibt ein großes Fest.
S136,Zu dem Fest sind viele Gäste eingeladen. Und auch die böse Königin ist eingeladen. Die böse Königin kennt den Prinzen nämlich nicht.
S137,Die Königin denkt: Schneewittchen ist tot. Und ich bin die Schönste im ganzen Land.
S138,Auf dem Fest wird keine Frau schöner sein als ich.
S139,Und so fragt die Königin ihren Spiegel: Mein lieber Spiegel an der Wand! Wer ist die Schönste im ganzen Land?
S140,Und der Spiegel antwortet: Frau Königin: Du bist die schönste im Land. Aber die Prinzessin ist noch viel schöner als du.
S141,Die Königin ist wütend. Und die Königin will diese Prinzessin sehen. Deshalb geht die Königin zu dem Fest.
S142,Auf dem Fest sieht die böse Königin: Schneewittchen ist die schöne Prinzessin.
S143,Der Spiegel hat die Wahrheit gesagt. Schneewittchen lebt. Und Schneewittchen ist wunderschön. Die Königin hat verloren.
S144,Schneewittchen sieht die böse Königin. Und denkt: Die böse Königin wollte mich töten. Deshalb werde ich die böse Königin bestrafen.
S145,Schneewittchen gibt der bösen Königin schwere Schuhe. Die böse Königin muss mit den schweren Schuhen tanzen.
S146,Die Königin hat große Schmerzen. Die Schuhe sind nämlich sehr schwer
S147,Aber die böse Königin muss immer weiter tanzen. Dann fällt die Königin zu Boden. Die böse Königin ist tot.
S148,Jetzt muss Schneewittchen nie wieder Angst vor der bösen Königin haben.
S149,Schneewittchen ist glücklich. Und der Prinz ist glücklich. Und auch die Zwerge sind glücklich.
S150,Alle leben noch viele Jahre lang. Das war das Märchen von Schneewittchen.
